month,total.total,timeRange.start,timeRange.end
2002-01-01,1109,2002-01-01,2002-02-01
2002-02-01,1719,2002-02-01,2002-03-01
2002-03-01,1718,2002-03-01,2002-04-01
2002-04-01,1578,2002-04-01,2002-05-01
2002-05-01,1525,2002-05-01,2002-06-01
2002-06-01,1498,2002-06-01,2002-07-01
2002-07-01,1773,2002-07-01,2002-08-01
2002-08-01,2541,2002-08-01,2002-09-01
2002-09-01,3330,2002-09-01,2002-10-01
2002-10-01,3533,2002-10-01,2002-11-01
2002-11-01,3731,2002-11-01,2002-12-01
2002-12-01,4052,2002-12-01,2003-01-01
2003-01-01,5119,2003-01-01,2003-02-01
2003-02-01,4310,2003-02-01,2003-03-01
2003-03-01,4790,2003-03-01,2003-04-01
2003-04-01,5066,2003-04-01,2003-05-01
2003-05-01,6220,2003-05-01,2003-06-01
2003-06-01,6783,2003-06-01,2003-07-01
2003-07-01,8442,2003-07-01,2003-08-01
2003-08-01,9714,2003-08-01,2003-09-01
2003-09-01,10522,2003-09-01,2003-10-01
2003-10-01,11434,2003-10-01,2003-11-01
2003-11-01,11780,2003-11-01,2003-12-01
2003-12-01,13012,2003-12-01,2004-01-01
2004-01-01,14859,2004-01-01,2004-02-01
2004-02-01,19883,2004-02-01,2004-03-01
2004-03-01,26881,2004-03-01,2004-04-01
2004-04-01,26522,2004-04-01,2004-05-01
2004-05-01,28361,2004-05-01,2004-06-01
2004-06-01,31924,2004-06-01,2004-07-01
2004-07-01,37543,2004-07-01,2004-08-01
2004-08-01,38905,2004-08-01,2004-09-01
2004-09-01,48428,2004-09-01,2004-10-01
2004-10-01,57633,2004-10-01,2004-11-01
2004-11-01,70058,2004-11-01,2004-12-01
2004-12-01,75121,2004-12-01,2005-01-01
2005-01-01,80202,2005-01-01,2005-02-01
2005-02-01,75823,2005-02-01,2005-03-01
2005-03-01,92348,2005-03-01,2005-04-01
2005-04-01,113544,2005-04-01,2005-05-01
2005-05-01,125991,2005-05-01,2005-06-01
2005-06-01,132304,2005-06-01,2005-07-01
2005-07-01,163946,2005-07-01,2005-08-01
2005-08-01,186425,2005-08-01,2005-09-01
2005-09-01,194564,2005-09-01,2005-10-01
2005-10-01,250694,2005-10-01,2005-11-01
2005-11-01,267425,2005-11-01,2005-12-01
2005-12-01,326053,2005-12-01,2006-01-01
2006-01-01,358727,2006-01-01,2006-02-01
2006-02-01,350937,2006-02-01,2006-03-01
2006-03-01,408489,2006-03-01,2006-04-01
2006-04-01,426194,2006-04-01,2006-05-01